TERM,STUDENT_ID,COURSE,CAMPUS,GRADE
2021FL,fuylire,ENGL-1301,SE,D
2021FL,dhlkfth,ENGL-1301,CN,A
2021FL,ishgegz,ENGL-1301,NE,F
2021FL,outzxzf,ENGL-1301,SO,F
2021FL,bmxwstc,ENGL-1301,CN,D
2021FL,ojtonsu,ENGL-1301,NW,W
2021FL,osgeksg,ENGL-1301,NE,D
2021FL,butrvzw,ENGL-1301,SE,A
2021FL,wkrrvoo,ENGL-1301,SO,CR
2021FL,ywxeebw,ENGL-1301,SO,C
2021FL,wsvqkwa,ENGL-1301,NW,CR
2021FL,bqmlzlf,ENGL-1301,NE,CR
2021FL,dazwpbi,ENGL-1301,SO,D
2021FL,isdxzwi,ENGL-1301,NW,A
2021FL,rrooswr,ENGL-1301,NE,W
2021FL,msaqjzr,ENGL-1301,NE,B
2021FL,wquhfjz,ENGL-1301,TR,D
2021FL,cmihdpo,ENGL-1301,SO,A
2021FL,winhgou,ENGL-1301,NE,A
2021FL,xjhpkdz,ENGL-1301,NE,A
2021FL,hxuftri,ENGL-1301,NE,D
2021FL,axlehgw,ENGL-1301,NW,C
2021FL,dhaeqou,ENGL-1301,SO,F
2021FL,ilgxadr,ENGL-1301,NE,A
2021FL,lansbwh,ENGL-1301,TR,CR
2021FL,dzzosya,ENGL-1301,TR,C
2021FL,xdeerow,ENGL-1301,NW,B
2021FL,qtdztwi,ENGL-1301,SO,B
2021FL,winnjjn,ENGL-1301,NW,C
2021FL,ywuxxmp,ENGL-1301,NW,F
2021FL,dgrdmft,ENGL-1301,TR,B
2021FL,ipncxkj,ENGL-1301,CN,F
2021FL,pknueqb,ENGL-1301,SO,B
2021FL,oxchepz,ENGL-1301,NW,W
2021FL,cdpcfjp,ENGL-1301,SE,A
2021FL,htceake,ENGL-1301,CN,F
2021FL,nagwvvj,ENGL-1301,NW,C
2021FL,euwioxo,ENGL-1301,CN,A
2021FL,tpujbqk,ENGL-1301,NE,D
2021FL,dyfrpjs,ENGL-1301,TR,D
2021FL,wwsseyi,ENGL-1301,CN,B
2021FL,nfjwbsv,ENGL-1301,SE,D
2021FL,okrpoiv,ENGL-1301,TR,F
2021FL,sruzwsq,ENGL-1301,NW,C
2021FL,hpgehpq,ENGL-1301,NW,F
2021FL,jrlisqu,ENGL-1301,NW,D
2021FL,ugbrlpw,ENGL-1301,SE,D
2021FL,ahcicau,ENGL-1301,CN,W
2021FL,jbzjsxt,ENGL-1301,SO,CR
2021FL,gyylzpr,ENGL-1301,NE,A
2021FL,gkuzcbm,ENGL-1301,CN,D
2021FL,qtoeicz,ENGL-1301,TR,A
2021FL,bhtzesy,ENGL-1301,TR,A
2021FL,yinxktm,ENGL-1301,TR,D
2021FL,nukiufi,ENGL-1301,NE,F
2021FL,eqlfkyj,ENGL-1301,CN,W
2021FL,evvghrf,ENGL-1301,TR,C
2021FL,ahttjin,ENGL-1301,NW,B
2021FL,zsieqhl,ENGL-1301,SO,C
2021FL,byfgwmq,ENGL-1301,NW,F
2021FL,pzycxdi,ENGL-1301,CN,CR
2021FL,kgbdbuy,ENGL-1301,CN,CR
2021FL,jzfrwzi,ENGL-1301,SE,CR
2021FL,dtboeya,ENGL-1301,SE,D
2021FL,dmkpeei,ENGL-1301,SO,D
2021FL,ihklgji,ENGL-1301,SO,F
2021FL,owmftom,ENGL-1301,NW,C
2021FL,rdilivo,ENGL-1301,TR,W
2021FL,qkafspg,ENGL-1301,SE,CR
2021FL,ezivxre,ENGL-1301,SE,A
2021FL,cwjhvkc,ENGL-1301,CN,W
2021FL,bqamhty,ENGL-1301,NW,A
2021FL,nsiglof,ENGL-1301,NW,B
2021FL,rpiqibg,ENGL-1301,CN,CR
2021FL,dezpgud,ENGL-1301,NE,CR
2021FL,ygwykge,ENGL-1301,NW,B
2021FL,mdwpbvt,ENGL-1301,NE,W
2021FL,fwhjemm,ENGL-1301,NW,F
2021FL,vaxqggv,ENGL-1301,SO,B
2021FL,dygyeae,ENGL-1301,SE,W
2021FL,nevzdnh,ENGL-1301,SO,W
2021FL,voquwhk,ENGL-1301,SO,W
2021FL,ktrwtsj,ENGL-1301,NE,D
2021FL,oyotest,ENGL-1301,NE,W
2021FL,ozdbkws,ENGL-1301,NW,CR
2021FL,dsyixtb,ENGL-1301,SO,C
2021FL,xhslilu,ENGL-1301,TR,W
2021FL,jqjrkxp,ENGL-1301,CN,B
2021FL,yujbjkv,ENGL-1301,NE,D
2021FL,oyomeqe,ENGL-1301,TR,D
2021FL,iujvvrz,ENGL-1301,SO,W
2021FL,wjdlaft,ENGL-1301,TR,F
2021FL,deuguqf,ENGL-1301,SE,CR
2021FL,cvmtple,ENGL-1301,SE,C
2021FL,psmdyfq,ENGL-1301,SE,B
2021FL,vucmxus,ENGL-1301,NW,C
2021FL,effnlsh,ENGL-1301,SO,CR
2021FL,ygnkdnu,ENGL-1301,TR,D
2021FL,ajvykjx,ENGL-1301,NE,A
2021FL,ftvucdu,ENGL-1301,NW,CR
2021FL,kmjpuxe,ENGL-1301,SO,F
2021FL,muppovy,ENGL-1301,NE,W
2021FL,nvoakdr,ENGL-1301,SE,F
2021FL,lrzqird,ENGL-1301,CN,B
2021FL,tcjarwl,ENGL-1301,NE,C
2021FL,tyziuka,ENGL-1301,SE,F
2021FL,fdrdpxx,ENGL-1301,NW,CR
2021FL,mbzkiin,ENGL-1301,SO,C
2021FL,hqmyyyx,ENGL-1301,NW,A
2021FL,wsyamvz,ENGL-1301,TR,W
2021FL,heeusyg,ENGL-1301,CN,C
2021FL,mamocsn,ENGL-1301,NW,CR
2021FL,adtgcgd,ENGL-1301,NE,W
2021FL,simfbhv,ENGL-1301,SO,B
2021FL,pystomk,ENGL-1301,NW,F
2021FL,knuvutv,ENGL-1301,SO,F
2021FL,ilxkquj,ENGL-1301,SO,CR
2021FL,pulaaqc,ENGL-1301,NW,F
2021FL,wuzxmys,ENGL-1301,CN,W
2021FL,jqtqftc,ENGL-1301,SO,B
2021FL,ckdplxw,ENGL-1301,SE,CR
2021FL,pinqprq,ENGL-1301,CN,C
2021FL,suannda,ENGL-1301,SE,D
2021FL,rnsphhv,ENGL-1301,SO,C
2021FL,tarmnpt,ENGL-1301,NW,F
2021FL,zkzqcia,ENGL-1301,SE,F
2021FL,vsidjrj,ENGL-1301,SO,B
2021FL,dvbzxuw,ENGL-1301,CN,A
2021FL,aiyqgha,ENGL-1301,CN,W
2021FL,ywetkqo,ENGL-1301,TR,A
2021FL,cderyel,ENGL-1301,SO,B
2021FL,zfhrllh,ENGL-1301,SE,W
2021FL,hlyvnax,ENGL-1301,NW,CR
2021FL,epxoehq,ENGL-1301,SO,A
2021FL,woqvnqo,ENGL-1301,NW,A
2021FL,kazhpqw,ENGL-1301,SE,CR
2021FL,jyvjgea,ENGL-1301,TR,W
2021FL,xnvbivm,ENGL-1301,NW,CR
2021FL,rwzradi,ENGL-1301,NW,B
2021FL,mddfixv,ENGL-1301,NW,F
2021FL,fjfyaab,ENGL-1301,CN,C
2021FL,euwnmzi,ENGL-1301,SO,B
2021FL,luegmxz,ENGL-1301,TR,A
2021FL,nsggouc,ENGL-1301,CN,D
2021FL,gtvfvcy,ENGL-1301,TR,CR
2021FL,orafxep,ENGL-1301,CN,A
2021FL,vhlxhkz,ENGL-1301,NE,D
2021FL,bbpxfyz,ENGL-1301,NE,D
2021FL,vmrwftl,ENGL-1301,NW,C
2021FL,vxdvbdg,ENGL-1301,SO,C
2021FL,egjuiuq,ENGL-1301,NW,A
2021FL,vlktctm,ENGL-1301,NE,W
2021FL,hqmsxxn,ENGL-1301,SE,D
2021FL,omayoez,ENGL-1301,NE,W
2021FL,ufjnlkg,ENGL-1301,TR,CR
2021FL,obzyyjk,ENGL-1301,CN,A
2021FL,lrfzjki,ENGL-1301,NE,D
2021FL,pkraowa,ENGL-1301,TR,B
2021FL,wurpysn,ENGL-1301,SO,F
2021FL,ckrgagv,ENGL-1301,CN,F
2021FL,gqwhqim,ENGL-1301,NW,CR
2021FL,mrygkog,ENGL-1301,CN,D
2021FL,qnoozog,ENGL-1301,CN,W
2021FL,ayowtfy,ENGL-1301,SO,B
2021FL,nmtzijk,ENGL-1301,NE,B
2021FL,ghibimg,ENGL-1301,TR,B
2021FL,zuktmqc,ENGL-1301,SE,F
2021FL,zfczkld,ENGL-1301,NE,B
2021FL,mfkohql,ENGL-1301,NE,CR
2021FL,lcbrwzk,ENGL-1301,TR,D
2021FL,ejpdwfl,ENGL-1301,NE,A
2021FL,mjmlfan,ENGL-1301,TR,CR
2021FL,dcdlbhb,ENGL-1301,NW,W
2021FL,ulfcdrq,ENGL-1301,SE,B
2021FL,awmodpe,ENGL-1301,SE,D
2021FL,kfzsvft,ENGL-1301,TR,B
2021FL,tuiunxk,ENGL-1301,NE,CR
2021FL,vqmdjer,ENGL-1301,SE,D
2021FL,ooqizmp,ENGL-1301,SO,W
2021FL,mnjkefr,ENGL-1301,SE,W
2021FL,nsgymtl,ENGL-1301,SO,B
2021FL,oeuxexq,ENGL-1301,SE,W
2021FL,tztynpd,ENGL-1301,SE,B
2021FL,obvksha,ENGL-1301,SO,D
2021FL,imjjieh,ENGL-1301,SO,B
2021FL,dpavdyn,ENGL-1301,NE,W
2021FL,srwwrxt,ENGL-1301,CN,D
2021FL,yjgrutw,ENGL-1301,NE,B
2021FL,bxkdmrd,ENGL-1301,SO,D
2021FL,uodnytq,ENGL-1301,SO,C
2021FL,aflltpt,ENGL-1301,SE,F
2021FL,msqpxjb,ENGL-1301,SE,F
2021FL,ayjoods,ENGL-1301,NW,C
2021FL,xlggkxi,ENGL-1301,SO,W
2021FL,fdxdclr,ENGL-1301,NW,C
2021FL,okdcnkc,ENGL-1301,CN,CR
2021FL,vkcxuoc,ENGL-1301,SE,CR
2021FL,zogufju,ENGL-1301,TR,CR
2021FL,txzfuxj,ENGL-1301,NW,B
2021FL,ivixogj,ENGL-1301,NE,B
2021FL,pzwfqvj,ENGL-1301,NW,F
2021FL,claeytz,ENGL-1301,NW,C
2021FL,apadlhh,ENGL-1301,CN,C
2021FL,rvmqwxp,ENGL-1301,NE,D
2021FL,bjdmlhk,ENGL-1301,NE,F
2021FL,wffwdol,ENGL-1301,NW,CR
2021FL,ydxozab,ENGL-1301,CN,W
2021FL,bzwuskh,ENGL-1301,TR,B
2021FL,mpdpscn,ENGL-1301,NE,C
2021FL,azyrowg,ENGL-1301,NE,B
2021FL,vfrnnik,ENGL-1301,NE,C
2021FL,vmncsok,ENGL-1301,NE,B
2021FL,fbnztfu,ENGL-1301,TR,W
2021FL,yzxejff,ENGL-1301,NE,F
2021FL,refczks,ENGL-1301,NW,B
2021FL,wihbuta,ENGL-1301,NE,W
2021FL,cinllnn,ENGL-1301,SE,C
2021FL,ihgvddm,ENGL-1301,CN,W
2021FL,oikbbdn,ENGL-1301,NE,B
2021FL,wxmwjgd,ENGL-1301,NW,A
2021FL,smglqvo,ENGL-1301,NE,D
2021FL,pteqtvj,ENGL-1301,NE,B
2021FL,nhnqulu,ENGL-1301,SE,C
2021FL,dhebumd,ENGL-1301,NE,A
2021FL,aqsnaew,ENGL-1301,NE,D
2021FL,tsjjvzg,ENGL-1301,NE,C
2021FL,tayppwh,ENGL-1301,NW,F
2021FL,lmkrbmn,ENGL-1301,NE,C
2021FL,dbvqjxs,ENGL-1301,NW,B
2021FL,atqetkv,ENGL-1301,TR,C
2021FL,pycojzw,ENGL-1301,CN,A
2021FL,zvtxvjk,ENGL-1301,CN,W
2021FL,qiuohqt,ENGL-1301,SE,C
2021FL,dayoccv,ENGL-1301,SO,D
2021FL,unpjvnw,ENGL-1301,TR,A
2021FL,uinipdg,ENGL-1301,CN,B
2021FL,rlujypm,ENGL-1301,CN,F
2021FL,wlvbksx,ENGL-1301,TR,A
2021FL,rwzelrv,ENGL-1301,SE,CR
2021FL,zkndovg,ENGL-1301,TR,CR
2021FL,ybozoot,ENGL-1301,CN,CR
2021FL,xrzogzl,ENGL-1301,NE,D
2021FL,rqkuocv,ENGL-1301,NW,F
2021FL,bmcqwpa,ENGL-1301,SO,A
2021FL,dtyxskh,ENGL-1301,NW,W
2021FL,faxilcz,ENGL-1301,SO,B
2021FL,ezrljle,ENGL-1301,SE,C
2021FL,oytrgju,ENGL-1301,CN,CR
2021FL,wyasdjz,ENGL-1301,SO,F
2021FL,txkmcxc,ENGL-1301,NE,W
2021FL,lfnhjua,ENGL-1301,SE,C
2021FL,tbpyzrr,ENGL-1301,CN,A
2021FL,vlewsos,ENGL-1301,CN,A
2021FL,ghmsahl,ENGL-1301,SE,B
2021FL,owdtjmt,ENGL-1301,TR,C
2021FL,tzhlppl,ENGL-1301,SE,A
2021FL,aelotsx,ENGL-1301,SO,C
2021FL,upmhtqc,ENGL-1301,CN,W
2021FL,gvuyaim,ENGL-1301,CN,D
2021FL,uitgxky,ENGL-1301,CN,CR
2021FL,emhphgr,ENGL-1301,SE,CR
2021FL,vussips,ENGL-1301,SO,A
2021FL,jouyyrm,ENGL-1301,NE,A
2021FL,jodznyt,ENGL-1301,SE,F
2021FL,wcpnjvg,ENGL-1301,NW,C
2021FL,dqkinwi,ENGL-1301,SE,W
2021FL,xvwesit,ENGL-1301,SE,W
2021FL,wksxztf,ENGL-1301,SE,D
2021FL,ifpduqj,ENGL-1301,SE,F
2021FL,qzizjrh,ENGL-1301,CN,D
2021FL,ndkmfjf,ENGL-1301,NE,A
2021FL,vgcoqhd,ENGL-1301,TR,D
2021FL,hqjustv,ENGL-1301,SO,B
2021FL,ouwywwa,ENGL-1301,NW,F
2021FL,mueqxic,ENGL-1301,NE,C
2021FL,zrdaxmm,ENGL-1301,NW,A
2021FL,gbovbqz,ENGL-1301,SE,F
2021FL,zoxapeq,ENGL-1301,SE,F
2021FL,cumanif,ENGL-1301,NE,W
2021FL,wgxinbp,ENGL-1301,CN,F
2021FL,eiuwpdy,ENGL-1301,CN,W
2021FL,pdlckrh,ENGL-1301,NW,C
2021FL,eyiwono,ENGL-1301,CN,CR
2021FL,ktonnsf,ENGL-1301,SO,B
2021FL,hlvvshd,ENGL-1301,NE,C
2021FL,iauyonk,ENGL-1301,NE,A
2021FL,chdwonm,ENGL-1301,SO,B
2021FL,ebwdmxv,ENGL-1301,CN,F
2021FL,wtmzopi,ENGL-1301,SO,A
2021FL,rrswdut,ENGL-1301,TR,F
2021FL,fxlctmo,ENGL-1301,NE,F
2021FL,hzgfbqu,ENGL-1301,SE,F
2021FL,fukfnzg,ENGL-1301,TR,F
2021FL,zvqdjwz,ENGL-1301,NE,C
2021FL,jzwyyuo,ENGL-1301,SE,A
2021FL,rsirnhj,ENGL-1301,NE,B
2021FL,hlkppuk,ENGL-1301,NE,F
2021FL,zxeebkb,ENGL-1301,SE,W
2021FL,yhjtiqc,ENGL-1301,NE,CR
2021FL,qxuewtc,ENGL-1301,NW,F
2021FL,xjllrwf,ENGL-1301,NE,D
2021FL,bnopokl,ENGL-1301,CN,A
2021FL,wtxpseq,ENGL-1301,NW,A
2021FL,uzhsjif,ENGL-1301,SO,B
2021FL,yziuakv,ENGL-1301,SE,F
2021FL,ecuvgqy,ENGL-1301,CN,F
2021FL,axqrcsb,ENGL-1301,TR,B
2021FL,ioyqipt,ENGL-1301,SE,CR
2021FL,jtspzre,ENGL-1301,NE,W
2021FL,bwaddda,ENGL-1301,NE,W
2021FL,netxske,ENGL-1301,SO,F
2021FL,wubetkn,ENGL-1301,TR,A
2021FL,cwewumt,ENGL-1301,NE,D
2021FL,mbhfgyf,ENGL-1301,TR,W
2021FL,uhgmkmj,ENGL-1301,CN,F
2021FL,fqkibdk,ENGL-1301,NW,B
2021FL,cpxsdzv,ENGL-1301,SE,F
2021FL,lwawzwf,ENGL-1301,TR,W
2021FL,ovwfymp,ENGL-1301,SE,D
